degree_name,degree_employ_value,group
가정교육과  ,38.35,교육계열
가정학과  ,68.03333333,사회계열
가족복지과  ,67.05,사회계열
간호과  ,85.5,의약계열
간호학과  ,84,의약계열
건강관리과  ,60.85,예체능계열
건강관리학과  ,66.05,예체능계열
건설산업과  ,73.5,공학계열
건설정보과  ,68.15,공학계열
건축공학과  ,70.9,공학계열
건축과  ,69.85,공학계열
건축학과  ,73.8,공학계열
게임공학과  ,70.1,공학계열
경영정보과  ,65.8,공학계열
경영학과  ,66.35,사회계열
경영회계정보과  ,64.75,사회계열
경제학과  ,64.7,사회계열
경찰행정과  ,65.2,사회계열
경찰행정학과  ,54.3,사회계열
경호스포츠과  ,60.85,예체능계열
경호학과  ,66.05,예체능계열
고고학과  ,51.45,인문계열
고분자공학과  ,68.65,공학계열
공업디자인과  ,66.9,예체능계열
공업디자인학과  ,67.2,예체능계열
공업화학과  ,68.65,공학계열
공연제작과  ,62.6,예체능계열
공예과  ,58.1,예체능계열
공예디자인학과  ,67.2,예체능계열
공예학과  ,65,예체능계열
공중보건학과  ,75.55,의약계열
과학교육과  ,38.35,교육계열
관광경영과  ,65.8,사회계열
관광경영학과  ,66.35,사회계열
관광통역과  ,69.8,인문계열
관현악과  ,42.75,예체능계열
광고기획과  ,65.8,사회계열
광고디자인과  ,66.9,예체능계열
광고홍보학과  ,64.95,사회계열
광학공학과  ,76.75,공학계열
교양과  ,68.5,인문계열
교육공학과  ,53.4,교육계열
교육심리학과  ,53.4,교육계열
교육학과  ,53.4,교육계열
교통공학과  ,66.85,공학계열
국방기술학과  ,73.9,공학계열
국악학과  ,53.45,예체능계열
국어교육과  ,36.45,교육계열
국어국문학과  ,54.4,인문계열
국제경영 및 통상학과  ,66.35,사회계열
국제관계학과  ,61.95,사회계열
국제문화정보학과  ,61.95,인문계열
국제법무학과  ,50.4,사회계열
국제학과  ,61.95,사회계열
군사학과  ,60.7,사회계열
금속공예과  ,58.1,예체능계열
금속공예학과  ,65,예체능계열
금속공학과  ,67.65,공학계열
금융보험과  ,64.75,사회계열
금융보험학과  ,63.85,사회계열
금형설계과  ,71.4,공학계열
기계공학과  ,73.9,공학계열
기계과  ,71.4,공학계열
기계설계공학과  ,73.9,공학계열
기계설계과  ,71.4,공학계열
기독교학과  ,60.35,인문계열
기술교육과  ,38.35,교육계열
기악과  ,42.75,예체능계열
나노공학과  ,61.7,공학계열
냉동공조공학과  ,70.8,공학계열
노인보건복지과  ,67.05,사회계열
노인복지학과  ,61.55,사회계열
농공학과  ,66.95,자연계열
농생물학과  ,53.95,자연계열
농수산과  ,77.35,자연계열
농업경제학과  ,64.7,사회계열
농업교육과  ,38.35,교육계열
대기과학과  ,55.95,자연계열
대중음악과  ,53.5,예체능계열
댄스스포츠과  ,60.85,예체능계열
도시계획학과  ,62.05,사회계열
도시공학과  ,63.55,공학계열
도자기공예과  ,58.1,예체능계열
도자기공예학과  ,65,예체능계열
독서문화콘텐츠과  ,45.15,예체능계열
독어독문학과  ,61.7,인문계열
독일어교육과  ,36.45,교육계열
독일학과  ,60.35,인문계열
동물자원학과  ,62.9,자연계열
동양화과  ,59.55,예체능계열
디지털디자인과  ,66.9,예체능계열
디지털미디어과  ,66.9,사회계열
디지털정보과  ,68.15,예체능계열
디지털콘텐츠학과  ,70.6,예체능계열
러시아어문학과  ,63.55,인문계열
러시아학과  ,63.55,인문계열
레저스포츠과  ,60.85,예체능계열
레저스포츠학과  ,66.05,예체능계열
레크리에이션과  ,60.85,예체능계열
마케팅정보과  ,65.8,사회계열
만화애니메이션학과  ,64.5,예체능계열
만화창작과  ,57.6,예체능계열
말특수동물학과  ,75.5,자연계열
멀티미디어정보과  ,68.15,공학계열
멀티미디어학과  ,70.6,공학계열
메이크업아티스트과  ,63.55,예체능계열
메카트로닉스공학과  ,73.75,공학계열
메카트로닉스과  ,72.25,공학계열
모델과  ,63.55,예체능계열
모바일시스템공학과  ,70.1,공학계열
목조형가구학과  ,65,예체능계열
무도학과  ,66.05,예체능계열
무역과  ,65.65,사회계열
무역학과  ,63.85,사회계열
무용과  ,48.2,예체능계열
무용학과  ,63.4,예체능계열
문예창작과  ,41.15,인문계열
문예창작학과  ,54.4,인문계열
문헌정보과  ,64.1,인문계열
문헌정보학과  ,60.7,인문계열
문화관광과  ,66.15,사회계열
문화재과  ,45.15,인문계열
문화재보존학과  ,60.4,인문계열
문화콘텐츠학과  ,60.4,인문계열
물류시스템공학과  ,70.8,공학계열
물리교육과  ,38.35,교육계열
물리치료과  ,83,의약계열
물리치료학과  ,80.15,의약계열
물리학과  ,61.7,자연계열
뮤지컬과  ,53.5,예체능계열
미국학과  ,60.35,인문계열
미디어학과  ,70.6,예체능계열
미술교육과  ,50.15,교육계열
미술학과  ,59.55,예체능계열
미용과  ,63.55,예체능계열
민속학과  ,60.4,인문계열
바이오생명정보과  ,64.15,자연계열
반도체학과  ,72.2,공학계열
방사선과  ,75.35,의약계열
방사선학과  ,75.55,의약계열
방송영상과  ,61.75,사회계열
방송제작과  ,61.75,사회계열
법률과  ,54.5,사회계열
법학과  ,50.4,사회계열
벤처창업학과  ,66.35,사회계열
병원관리학과  ,54.3,의약계열
보건관리학과  ,75.55,의약계열
보건행정과  ,65.2,사회계열
보건행정학과  ,54.3,사회계열
보건환경과  ,75.35,의약계열
보석감정과  ,58.1,예체능계열
부동산과  ,65.8,사회계열
부동산학과  ,66.35,사회계열
부사관과  ,65.2,사회계열
북한학과  ,60.35,인문계열
불교학과  ,60.35,인문계열
불어교육과  ,36.45,교육계열
불어불문학과  ,64.25,인문계열
뷰티미용학과  ,64.8,예체능계열
비서행정과  ,82.45,사회계열
비서행정학과  ,54.3,사회계열
사이버국방학과  ,70.95,공학계열
사진과  ,57.6,예체능계열
사진영상학과  ,64.5,예체능계열
사학과  ,51.45,인문계열
사회계열  ,63.815,교육계열
사회교육학과  ,35.35,사회계열
사회복지과  ,67.05,사회계열
사회복지상담과  ,67.05,사회계열
사회복지학과  ,61.55,예체능계열
사회체육과  ,60.85,예체능계열
사회체육학과  ,66.05,사회계열
사회학과  ,56.25,자연계열
산림자원학과  ,62.9,사회계열
산업경영과  ,65.8,사회계열
산업경영학과  ,66.35,공학계열
산업공학과  ,70.4,공학계열
산업디자인과  ,61.25,예체능계열
산업디자인학과  ,64.7,예체능계열
산업설비자동화과  ,72.5,공학계열
산업안전과  ,75.35,의약계열
산업잠수과  ,60.85,예체능계열
생명공학과  ,54.6,자연계열
생명과학과  ,54.6,자연계열
생명자원학과  ,62.9,자연계열
생물교육과  ,38.35,교육계열
생물산업기계공학과  ,54.6,자연계열
생물학과  ,53.95,자연계열
생화학과  ,53.95,자연계열
서양화과  ,59.55,예체능계열
선교과  ,67.05,사회계열
선교학과  ,60.35,인문계열
섬유공학과  ,63.45,공학계열
섬유디자인과  ,66.9,공학계열
섬유디자인학과  ,67.2,예체능계열
성악과  ,42.8,예체능계열
세라믹공학과  ,72.2,공학계열
세무학과  ,63.85,사회계열
세무회계과  ,64.75,사회계열
소방방재학과  ,70.8,공학계열
소방안전관리과  ,75.35,의약계열
소프트웨어공학과  ,70.1,공학계열
수의학과  ,75.5,자연계열
수학과  ,59.95,자연계열
수학교육과  ,38.35,교육계열
수해양산업교육과  ,38.35,교육계열
스마트폰과  ,68.15,공학계열
스토리텔링학과  ,54.4,인문계열
스페인어학과  ,59.7,인문계열
스포츠마케팅학과  ,66.35,사회계열
스포츠외교과  ,60.85,예체능계열
스포츠의학과  ,66.05,예체능계열
스포츠재활과  ,60.85,예체능계열
스포츠지도과  ,60.85,예체능계열
스포츠지도학과  ,66.05,예체능계열
시각디자인과  ,61.15,예체능계열
시각디자인학과  ,65.2,예체능계열
시스템경영공학과  ,70.4,공학계열
시스템공학과  ,70.8,공학계열
식물자원학과  ,62.9,자연계열
